0 9240 2 0
1 9229 13 0
2 5221 4021 0
3 2716 6524 2
4 988 8252 2
5 277 8960 5
6 81 9156 5
7 36 9200 6
8 15 9221 6
9 6 9225 11
10 2 9222 18
11 0 9200 42
12 0 9166 76
13 0 9129 113
14 0 9058 184
15 0 8969 273
16 0 8782 460
17 0 8631 611
18 0 8418 824
19 0 8160 1082
20 0 7769 1473
21 0 7372 1870
22 0 6881 2361
23 0 6440 2802
24 0 5978 3264
25 0 5520 3722
26 0 5092 4150
27 0 4657 4585
28 0 4263 4979
29 0 3851 5391
30 0 3404 5838
31 0 2924 6318
32 0 2425 6817
33 0 1974 7268
34 0 1625 7617
35 0 1312 7930
36 0 1065 8177
37 0 869 8373
38 0 720 8522
39 0 577 8665
40 0 475 8767
41 0 386 8856
42 0 306 8936
43 0 246 8996
44 0 205 9037
45 0 162 9080
46 0 138 9104
47 0 107 9135
48 0 88 9154
49 0 70 9172
50 0 57 9185
51 0 45 9197
52 0 36 9206
53 0 30 9212
54 0 24 9218
55 0 18 9224
56 0 14 9228
57 0 10 9232
58 0 8 9234
59 0 7 9235
60 0 6 9236
61 0 5 9237
62 0 4 9238
63 0 4 9238
64 0 4 9238
65 0 3 9239
66 0 1 9241
67 0 1 9241
68 0 0 9242
